Episode  181 | reward:   -22.00 | buffer: 36200
Episode  182 | reward:   -27.00 | buffer: 36400
Episode  183 | reward:   -54.00 | buffer: 36600
Episode  184 | reward:   -53.00 | buffer: 36800
Episode  185 | reward:   -23.00 | buffer: 37000
Episode  186 | reward:   -27.00 | buffer: 37200
Episode  187 | reward:   -23.00 | buffer: 37400
Episode  188 | reward:   -39.00 | buffer: 37600
Episode  189 | reward:     0.00 | buffer: 37800
Episode  190 | reward:     0.00 | buffer: 38000
  eval @ ep 190: -35.80 +/- 13.86
Episode  191 | reward:   -53.00 | buffer: 38200
Episode  192 | reward:   -23.00 | buffer: 38400
Episode  193 | reward:     0.00 | buffer: 38600
Episode  194 | reward:   -38.00 | buffer: 38800
Episode  195 | reward:   -58.00 | buffer: 39000
Episode  196 | reward:   -39.00 | buffer: 39200
Episode  197 | reward:   -57.00 | buffer: 39400
Episode  198 | reward:   -22.00 | buffer: 39600
Episode  199 | reward:   -23.00 | buffer: 39800
Episode  200 | reward:   -22.00 | buffer: 40000
  eval @ ep 200: -35.80 +/- 14.47
Done. Logs and checkpoints written to results_sparse_no_doubleq/
